DATE,CLOSE,HIGH,LOW
02/02/2023,528.1,532.65,502.5
03/02/2023,544.2,545.95,519.15
06/02/2023,545.4,558.8,536.55
07/02/2023,547.1,551.4,541.05
08/02/2023,549.75,554.5,545.5
09/02/2023,550.8,552.0,542.8
10/02/2023,553.05,557.25,546.5
13/02/2023,537.5,556.9,533.3
14/02/2023,540.85,544.6,530.75
15/02/2023,542.25,544.65,536.8
16/02/2023,540.1,546.85,538.5
17/02/2023,531.0,539.65,527.75
20/02/2023,525.15,533.95,522.15
21/02/2023,523.45,528.95,522.4
22/02/2023,516.35,521.9,512.5
23/02/2023,521.0,524.0,511.35
24/02/2023,521.05,527.5,517.6
27/02/2023,527.7,529.8,519.0
28/02/2023,522.8,528.45,521.05
01/03/2023,536.7,537.4,523.1
02/03/2023,533.75,539.9,532.5
03/03/2023,561.2,564.3,541.75
06/03/2023,561.7,567.9,559.0
08/03/2023,564.8,565.5,556.45
09/03/2023,558.9,565.75,558.0
10/03/2023,547.35,554.95,545.0
13/03/2023,530.0,553.15,528.45
14/03/2023,525.4,532.8,520.0
15/03/2023,517.55,532.0,515.55
16/03/2023,524.5,529.35,514.3
17/03/2023,529.8,531.6,520.1
20/03/2023,519.2,526.6,515.0
21/03/2023,521.85,523.45,516.45
22/03/2023,521.55,527.0,520.1
23/03/2023,512.75,521.0,511.5
24/03/2023,505.35,514.95,503.45
27/03/2023,510.15,514.15,501.55
28/03/2023,508.1,511.75,503.85
29/03/2023,516.5,518.0,506.3
31/03/2023,523.75,524.9,519.35
03/04/2023,526.75,528.5,522.1
05/04/2023,523.0,527.6,519.05
06/04/2023,527.65,533.7,521.65
10/04/2023,526.3,530.4,524.4
11/04/2023,532.1,535.7,527.15
12/04/2023,528.2,534.0,526.0
13/04/2023,532.95,534.25,527.15
17/04/2023,544.0,545.0,528.0
18/04/2023,545.85,548.5,540.5
19/04/2023,540.3,547.5,538.25
20/04/2023,544.8,545.45,536.65
21/04/2023,543.15,546.4,539.7
24/04/2023,554.6,555.55,543.5
25/04/2023,561.8,567.9,555.0
26/04/2023,566.35,567.0,556.45
27/04/2023,564.75,567.4,561.1
28/04/2023,578.3,580.45,565.5
02/05/2023,575.3,580.85,573.15
03/05/2023,570.5,575.0,569.0
04/05/2023,580.0,580.8,568.5
05/05/2023,576.5,588.25,575.05
08/05/2023,583.6,587.6,577.35
09/05/2023,573.5,586.45,572.1
10/05/2023,572.2,575.0,563.25
11/05/2023,573.45,580.0,572.0
