Date,Order_dir,Quantity,Price
19/01/2023,BUY,1,589.850000
27/01/2023,BUY,1,539.950000
30/01/2023,BUY,1,538.200000
18/04/2023,SELL,1,545.850000
19/04/2023,SELL,1,540.300000
20/04/2023,SELL,1,544.800000
21/04/2023,SELL,1,543.150000
24/04/2023,SELL,1,554.600000
25/04/2023,SELL,1,561.800000
16/06/2023,BUY,1,571.250000
19/06/2023,BUY,1,568.850000
22/06/2023,BUY,1,562.950000
23/06/2023,BUY,1,554.600000
26/06/2023,BUY,1,557.050000
27/06/2023,BUY,1,566.100000
06/07/2023,SELL,1,592.500000
07/07/2023,SELL,1,593.600000
10/07/2023,SELL,1,592.600000
12/07/2023,SELL,1,589.250000
13/07/2023,SELL,1,585.650000
14/07/2023,SELL,1,584.400000
09/08/2023,BUY,1,573.750000
10/08/2023,BUY,1,573.650000
11/08/2023,BUY,1,574.150000
14/08/2023,BUY,1,560.800000
16/08/2023,BUY,1,565.350000
17/08/2023,BUY,1,572.150000
20/09/2023,SELL,1,601.100000
20/10/2023,BUY,1,563.100000
12/11/2023,SELL,1,581.300000
13/11/2023,SELL,1,581.350000
15/11/2023,SELL,1,584.700000
16/11/2023,SELL,1,584.650000
08/12/2023,SELL,1,614.150000
11/12/2023,SELL,1,614.250000
