DATE,CLOSE,OPEN,VWAP,LOW,HIGH,NO OF TRADES
01/03/2018,262.15,266.3,264.62,261.25,270.0,173004
05/03/2018,263.5,260.45,262.51,258.75,265.0,146913
06/03/2018,256.55,265.85,261.43,255.0,266.0,147230
07/03/2018,246.65,255.05,248.97,246.05,255.35,180424
08/03/2018,256.8,247.0,251.48,244.3,257.95,171219
09/03/2018,253.25,257.0,253.89,251.65,257.4,131269
12/03/2018,252.85,254.1,250.26,247.25,255.25,131673
13/03/2018,254.7,251.3,257.1,249.6,262.4,181837
14/03/2018,257.05,252.5,253.76,250.0,257.85,131180
15/03/2018,253.7,257.0,255.63,252.55,258.8,90568
16/03/2018,252.3,250.65,253.17,250.1,255.7,150302
19/03/2018,247.95,252.9,248.8,246.1,253.6,112744
20/03/2018,249.1,246.85,249.43,245.35,252.25,127033
21/03/2018,248.0,251.75,251.2,247.1,254.3,103548
22/03/2018,241.55,247.0,243.47,240.65,247.35,169794
23/03/2018,234.8,237.8,234.77,232.35,239.65,205532
26/03/2018,246.5,234.75,241.69,234.25,247.85,191534
27/03/2018,254.35,250.0,252.05,248.0,255.5,186644
28/03/2018,249.9,252.0,251.61,248.7,256.2,167989
02/04/2018,246.15,251.8,247.21,244.9,252.0,107701
03/04/2018,250.5,249.55,250.35,248.25,252.8,113047
04/04/2018,247.3,251.7,249.33,245.5,253.0,109181
05/04/2018,259.3,252.6,255.0,250.0,261.9,154532
06/04/2018,259.7,259.65,258.38,254.85,261.45,187342
09/04/2018,260.65,260.65,260.74,257.6,262.75,122085
10/04/2018,263.3,261.1,261.62,258.5,265.0,128190
11/04/2018,257.05,263.0,258.33,256.3,263.0,99011
12/04/2018,253.8,257.5,254.2,252.25,257.5,102493
13/04/2018,250.95,254.0,252.57,249.7,255.95,123494
16/04/2018,249.0,249.35,249.11,247.1,251.3,91738
17/04/2018,248.15,251.4,249.5,246.6,252.5,101479
18/04/2018,246.45,249.5,247.67,245.3,249.9,137163
19/04/2018,246.15,247.1,246.67,245.2,248.45,79014
20/04/2018,241.2,245.85,241.56,239.5,245.85,115151
23/04/2018,242.45,241.9,242.55,239.3,244.85,75286
24/04/2018,240.6,242.0,241.32,239.6,243.4,69116
25/04/2018,237.2,239.7,238.78,236.75,240.75,83988
26/04/2018,233.2,238.4,234.73,232.5,238.8,151982
27/04/2018,242.6,233.25,242.46,233.25,245.8,203123
30/04/2018,246.4,244.8,247.11,244.5,249.7,102753
02/05/2018,241.0,245.9,242.08,239.75,246.3,96574
03/05/2018,241.9,240.95,241.21,238.75,243.4,82594
04/05/2018,241.95,243.5,242.15,240.35,243.9,69129
07/05/2018,246.5,242.45,245.59,242.05,248.2,93517
08/05/2018,250.05,248.0,249.25,244.6,252.6,138529
09/05/2018,248.0,249.8,247.83,246.3,249.8,66742
10/05/2018,247.95,248.25,247.98,246.3,250.2,72818
11/05/2018,250.35,247.6,248.66,246.05,251.6,64606
14/05/2018,253.6,249.95,253.57,248.15,255.8,97405
15/05/2018,248.0,253.0,252.61,245.9,257.45,114730
16/05/2018,243.1,245.5,244.2,240.6,248.7,103543
17/05/2018,242.7,244.2,244.1,241.15,246.0,73063
18/05/2018,238.85,243.0,240.29,237.85,244.0,110146
21/05/2018,244.45,243.55,243.18,240.3,245.75,112369
